Charter,Credit Union,City
63932,1St Midamerica,Bethalto
62827,2 Rivers Area,Kankakee
60648,A.A.E.C.,Arlington Heights
64967,A.S.H. Employees,Anna
61230,Acme Continental,Riverdale
68343,Advantage One,Morrison
67955,Alliant,Chicago
60184,Anco Community,La Salle
62500,Area Educational,Mattoon
61425,Aurora Firefighters',Aurora
65906,Aurora Postal Employees,Aurora
65759,B.E.A.,Bethalto
68187,Baxter,Vernon Hills
66089,Berean,Chicago
65680,Bethel A.M.E. Church,Chicago
60302,Blaw-Knox,Mattoon
63103,Bloomington Municipal,Bloomington
64038,Bloomington Postal Employees,Bloomington
68180,Burlington Northern Santa Fe Railwy,Cicero
68508,Canals & Trails,Lockport
65427,Carbondale Highway,Carbondale
65735,Catholic & Community,Shiloh
60852,Central Credit Union of Illinois,Bellwood
65186,Central Illinois,Champaign
61209,Chicago Firefighter's,Chicago
60175,Chicago Firemans Assoc,Chicago
61560,Chicago's Bravest,Chicago
68448,Citizens Equity First,Peoria
60627,Clifford-Jacobs Employees,Champaign
60688,College and University,Chicago
60543,Community Trust,Gurnee
68588,Consumers,Lake Forest
63783,Cooperative Choice Network,Peoria
60189,Cornerstone,Freeport
68215,Corporate America Family,Elgin
68727,Credit Union 1,Lombard
68597,Decatur Earthmover,Forsyth
60293,Decatur Policemen,Decatur
65841,Decatur Postal,Decatur
61290,Dupage County Employees,Wheaton
60304,Elite Community,Bourbonnais
68598,Empeople,Moline
61448,Ethicon Suture,River Forest
62338,Evanston Firemens,Evanston
64252,Fellowship Baptist Church,Chicago
60325,Fieldstone,Bradley
60545,Financial Partners,Springfield
61231,Financial Plus,Ottawa
66359,First Northern,Chicago
63286,Fox Valley,Aurora
66253,Funeral Service,Springfield
60327,Gale,Galesburg
65712,Galesburg Burlington,Galesburg
65003,Gas and Electric,Rock Island
60429,Generations,Rockford
60238,Great Lakes,Bannockburn
60201,Harvard Community,Harvard
65421,Healthcare Associates,Lisle
64441,Heartland,Springfield
65640,Heights Auto Workers,Burnham
61518,Hershey Robinson Employees,Robinson
60337,I. H. Mississippi Valley,Moline
65840,I.B.E.W. Local #146,Decatur
68423,IAA,Bloomington
68425,Illiana Financial,Calumet City
65305,Illinois Educators,Springfield
64920,Illinois State,Normal
62121,Illinois Valley,Peru
66300,Imperial,Springfield
65555,Joliet Firefighters,Joliet
60198,Kankakee Federation of Teachers,Kankakee
65988,Kaskaskia Valley,Centralia
60855,Kone Employees,Moline
63716,Land of Lincoln,Decatur
60532,Landmark,Danville
64948,Linxus,Machesney Park
65843,MWRD Employees,Chicago
62497,Maroon Financial,Chicago
60212,Maternity B.V.M.,Bourbonnais
65896,Mea,Monticello
63368,"Members ""First"" Community",Quincy
65995,Mercer,Aledo
61847,Midwest Coalition of Labor,Countryside
68684,Midwest Members,Wood River
60186,Moline Municipal,Moline
67024,Mt. Zion,Zion
61447,Numark,Joliet
62717,Oak Lawn Municipal Employees,Oak Lawn
63213,Ottawa Hiway,Ottawa
64242,Paris Hi-Way,Paris
60923,Park Manor Christian Church,Chicago
62854,Partnership Financial,Morton Grove
65905,Peoria Bell,Peoria
60873,Peoria City Employees,Peoria
60190,Peoria Fire Fighters,Peoria
61232,Peoria Hiway,Peoria
60863,Peoria Postal Employees,Peoria
65231,Pilgrim Baptist,Chicago
61643,Planites,Chicago
60299,Pontiac Dwight Prison Employs,Pontiac
63378,Quincy Postal Employees,Quincy
61056,Reavis - Stickney,Burbank
60346,Redbrand,Bartonville
68623,Revity,Granite City
61152,River to River,Vienna
63791,Riverside Community,Kankakee
68687,Rock Valley,Loves Park
62826,Rockford Municipal Employees,Rockford
60279,SIU,Carbondale
65046,SIUE,Edwardsville
65346,Salem School System,Salem
66370,Scott,Edwardsville
60531,Select Employees,Sterling
65770,Service Plus,Moline
61368,Sherwin Williams Emp.,South Holland
64731,Smartchoice,Spring Valley
65424,Springfield City Employees,Springfield
65256,Springfield Firefighters,Springfield
60680,St. Gregory Parish,Chicago
66296,St. Helena Parish,Chicago
65484,St. Jude,Chicago
61566,St. Mark,Chicago
65259,State Employees Community,Alton
62939,Streator Community,Streator
68226,Streator Onized,Streator
60335,Taylorville Community,Taylorville
65874,Taylorville School Employees,Taylorville
60390,Tee-Pak,Danville
63541,The Credit Union for All,Bloomington
61793,U. S. Employees,Chicago
60095,United Community,Quincy
60583,University of Illinois Community,Champaign
64568,Urbana Municipal Employees,Urbana
61093,Vibrant,Moline
60041,Vicinity,Chicago
65426,Western Illinois School Employees,Quincy
63459,Williamson County Catholic,Herrin
