Credit Union,City,Phone
Alexandria Municipal Employees' Credit Union,Alexandria,(318) 445-5696
Ascension Credit Union,Gonzales,(225) 621-2800
C-F LA Credit Union,Donaldsonville,(225) 473-0331
Cabot Employees Credit Union,Franklin,(337) 836-2219
Calcasieu Teachers & Employees Credit Union,Lake Charles,(337) 433-4525
Coast Guard Employees' Credit Union,New Orleans,(504) 671-2287
COGIC Credit Union,Lafayette,(337) 372-1700
Department of Corrections Credit Union,Baton Rouge,(225) 342-6618
Essential Credit Union,Baton Rouge,(225) 353-8238
Federal Employees Credit Union,Monroe,(318) 387-3215
Graphic Arts Credit Union,Shreveport,(318) 208-8504
Immaculate Heart of Mary Credit Union,Lafayette,(337) 593-0591
Louisiana Central Credit Union,Harahan,(504) 733-0789
Louisiana Corporate Credit Union,Metairie,(504) 838-8250
New Orleans Police Department Employees' Credit Union,New Orleans,(504) 658-5570
New Orleans Port Commission Employees' Credit Union,New Orleans,(504) 528-3279
Old Spanish Trail Credit Union,Westlake,(337) 491-5025
Orleans Parish Sheriff's Credit Union,New Orleans,(504) 202-9419
Pelican Credit Union,Baton Rouge,(225) 408-6100
People's Credit Union,Rayne,(337) 393-2495
Post Office Employees Credit Union,Metairie,(504) 885-6871
Professional Fire Fighters' Credit Union,Shreveport,(318) 603-0626
Southwest Louisiana Credit Union,Lake Charles,(337) 477-9190
Tangipahoa Parish Teachers Credit Union,Amite,(985) 748-5132
Vermilion School Employees' Credit Union,Abbeville,(337) 898-1388
