Charter,Credit Union,City
67022,1st Class Express,Waukesha
67012,1st Community,Sparta
66546,Air Tech,Milwaukee
66660,Alloy Employees,Waukesha
66532,Arcadia,Arcadia
67243,Athens Area,Athens
66537,Avestar,Waterloo
66750,Badger-Globe,Neenah
66549,Bay Shore,Marinette
66998,Blackhawk Community,Janesville
67003,Brantwood,Brantwood
66637,Brewery,Milwaukee
67000,Brokaw,Weston
66865,Capital,Green Bay
66513,Central Wisconsin,Plover
66844,Cloverbelt,Wausau
66983,Co-op,Black River Falls
66642,Community First,Appleton
66755,Compassionate Care,Fond du Lac
66538,Connexus,Wausau
66456,County - City,Jefferson
66848,Covantage,Antigo
66665,Dairyland Power,La Crosse
66448,Educators,Racine
66395,Evergreen,Neenah
66423,Firefighters,Onalaska
66545,First Choice,Marshfield
67214,First Community CU of Beloit,Beloit
66451,Focus,Menomonee Falls
67176,Fond du Lac,Fond du Lac
67184,Fort Community,Fort Atkinson
66798,Forward Financial,Niagara
66731,Fox Communities,Appleton
67238,Glacier Hills,West Bend
67096,Golden Rule Community,Ripon
66529,Governmental Employees,La Crosse
66638,Guardian,Oak Creek
66477,Gundersen,La Crosse
66710,Heartland,Madison
66476,Holy Family Memorial,Manitowoc
68044,Holy Redeemer Community of SE Wis.,Milwaukee
66434,Indianhead,Spooner
66503,Iron County Community,Hurley
66410,Kenosha Police and Firemen's,Kenosha
66872,Kohler,Sheboygan
66999,Lakewood,Rib Lake
66751,Landmark,Brookfield
66862,M.E. Employees,Wausau
66431,Madison,Madison
66499,Madison Fire Department,Madison
66466,Marathon County Employees,Wausau
66752,Marine,La Crosse
67066,Marshfield Medical Center,Marshfield
66878,MCU Financial Center,Racine
66618,Meadowland,Sheboygan Falls
66633,Members' Advantage,Wisconsin Rapids
67017,N.E.W.,Oconto Falls
66555,Northwestern Mutual,Milwaukee
67240,Northwoods Community,Park Falls
67200,Oakdale,Oakdale
66779,Oshkosh Community,Oshkosh
67196,Park City,Merrill
66424,PCM,Green Bay
66663,Police,Sheboygan
66760,Premier Financial,New Holstein
66449,Prime Financial,Cudahy
66652,Prospera,Appleton
66461,Public Service,Wausau
66622,Racine Municipal Employees,Racine
67183,Ripco,Rhinelander
66683,Ripple,Oshkosh
66834,Royal,Eau Claire
66662,School Employees,Superior
66439,Sentry,Stevens Point
66530,Service,Green Bay
66616,Sheboygan Area,Sheboygan
66447,Shoreline,Two Rivers
66678,Simplicity,Marshfield
66707,Southern Lakes,Kenosha
66565,Stoppenbach,Jefferson
66613,Stoughton U.S. Rubber Employees,Stoughton
67190,Summit,Madison
67173,Superior Choice,Superior
67237,Superior Municipal Employees,Superior
66388,Taylor,Medford
66877,Teachers,Beloit
66615,Tomah Area,Tomah
66640,Tri-County,Marinette
66851,Unison,Kaukauna
67248,UnitedOne,Manitowoc
66492,University of Wisconsin,Madison
66430,Valley Communities,Mosinee
66777,"Verve, A Credit Union",Oshkosh
66677,WEA,Madison
67208,Westby Co-op,Westby
66742,Westconsin,Menomonie
66437,Winnebago Community,Oshkosh
66686,"Wisconsin Latvian, Inc.",Milwaukee
66625,Wisconsin Medical,Green Bay
